shi,シ
chi,チ
kya,キャ
kyi,キィ
kyu,キュ
kye,キェ
kyo,キョ
gya,ギャ
gyi,ギィ
gyu,ギュ
gye,ギェ
gyo,ギョ
sha,シャ
shu,シュ
she,シェ
sho,ショ
cha,チャ
chu,チュ
che,チェ
cho,チョ
dya,ヂャ
dyi,ヂィ
dyu,ヂュ
dhe,デェ
dyo,ヂョ
nya,ニャ
nyi,ニィ
nyu,ニュ
nye,ニェ
nyo,ニョ
hya,ヒャ
hyi,ヒィ
hyu,ヒュ
hye,ヒェ
hyo,ヒョ
bya,ビャ
byi,ビィ
byu,ビュ
bye,ビェ
byo,ビョ
pya,ピャ
pyi,ピィ
pyu,ピュ
pye,ピェ
pyo,ピョ
mya,ミャ
myi,ミィ
myu,ミュ
mye,ミェ
myo,ミョ
rya,リャ
ryi,リィ
ryu,リュ
rye,リェ
ryo,リョ
kwa,クァ
kwi,クィ
kwu,クゥ
kwe,クェ
kwo,クォ
kha,クァ
khi,クィ
khu,クゥ
khe,クェ
kho,クォ
gwa,グァ
gwi,グィ
gwu,グゥ
gwe,グェ
gwo,グォ
gha,グァ
ghi,グィ
ghu,グゥ
ghe,グェ
gho,グォ
swa,スァ
swi,スィ
swu,スゥ
swe,スェ
swo,スォ
zwa,ズヮ
zwi,ズィ
zwu,ズゥ
zwe,ズェ
zwo,ズォ
twa,トァ
twi,トィ
twu,トゥ
twe,トェ
two,トォ
dwa,ドァ
dwi,ドィ
dwu,ドゥ
dwe,ドェ
dwo,ドォ
mwa,ムヮ
mwi,ムィ
mwu,ムゥ
mwe,ムェ
mwo,ムォ
bwa,ビヮ
bwi,ビィ
bwu,ビゥ
bwe,ビェ
bwo,ビォ
pwa,プヮ
pwi,プィ
pwu,プゥ
pwe,プェ
pwo,プォ
phi,プィ
phu,プゥ
phe,プェ
pho,フォ
xtu,ッ
sya,シャ
syu,シュ
syo,ショ
tya,チャ
tyu,チュ
tyo,チョ
cya,チャ
cyu,チュ
cyo,チョ
jya,ジャ
jyu,ジュ
jyo,ジョ
pha,ファ
tho,ソ
thy,ティ
su,ス
se,セ
so,ソ
ta,タ
tu,ツ
te,テ
to,ト
na,ナ
ni,ニ
nu,ヌ
ne,ネ
no,ノ
ha,ハ
hi,ヒ
fu,フ
he,ヘ
ho,ホ
ma,マ
mi,ミ
mu,ム
me,メ
mo,モ
ya,ヤ
yu,ユ
yo,ヨ
ra,ラ
ri,リ
ru,ル
re,レ
ro,ロ
wa,ワ
wo,ヲ
ka,カ
ki,キ
ku,ク
ke,ケ
ko,コ
sa,サ
vu,ヴ
ga,ガ
gi,ギ
gu,グ
ge,ゲ
go,ゴ
za,ザ
ji,ジ
zu,ズ
ze,ゼ
zo,ゾ
da,ダ
di,ヂ
du,ヅ
de,デ
do,ド
ba,バ
bi,ビ
bu,ブ
be,ベ
bo,ボ
pa,パ
pi,ピ
pu,プ
pe,ペ
po,ポ
fa,ファ
fi,フィ
fe,フェ
fo,フォ
va,ヴァ
vi,ヴィ
ve,ヴェ
vo,ヴォ
xa,ァ
xi,ィ
xu,ゥ
xe,ェ
xo,ォ
oh,オウ
by,ビィ
cy,シィ
dy,ディ
fy,フィ
gy,ジィ
hy,シー
ly,リィ
ny,ニィ
my,ミィ
ry,リィ
ty,ティ
vy,ヴィ
zy,ジィ
oh,オウ
by,ビィ
cy,シィ
dy,ディ
fy,フィ
gy,ジィ
hy,シー
ly,リィ
ny,ニィ
my,ミィ
ry,リィ
ty,ティ
vy,ヴィ
zy,ジィ
qa,クァ
qi,クィ
qu,クゥ
qe,クェ
qo,クォ
ca,カ
ci,シ
cu,ク
ce,セ
co,コ
la,ラ
li,リ
lu,ル
le,レ
lo,ロ
mb,ム
py,パイ
wi,ウィ
we,ウェ
wb,ゥブ
wc,ゥク
wd,ゥド
wf,ゥフ
wg,ゥグ
wh,ウ
wj,ゥジ
wk,ゥク
wl,ゥル
wm,ゥム
wn,ゥン
wp,ゥプ
wq,ゥク
wr,ウ
ws,ゥス
wt,ゥト
wu,ゥ
wv,ヴ
wx,ゥクス
wy,ゥィ
wz,ゥズ
aw,アゥ
bw,ブゥ
cw,クゥ
dw,ドゥ
ew,ェウ
iw,イゥ
fw,フゥ
gw,グゥ
hw,フゥ
jw,ジゥ
kw,クヮ
lw,ルゥ
mw,ムゥ
nw,ンゥ
ow,ヲゥ
pw,プゥ
qw,クゥ
rw,ルゥ
sw,スゥ
tw,トゥ
uw,ゥ
vw,ヴ
xw,クス
yw,ィゥ
zw,ズゥ
si,シ
ti,チ
hu,フ
zi,ジ
ja,ジャ
ju,ジュ
je,ジェ
jo,ジョ
a,ア
i,イ
u,ウ
e,エ
o,オ
n,ン
b,ブ
c,ク
d,ド
f,フ
g,グ
h,フ
j,ジ
k,ク
l,ル
m,ム
p,プ
q,ク
r,ル
s,ス
t,ト
v,ヴ
w,ゥ
x,クス
y,ィ
z,ズ
